Sample ID,Age (months),T2 (ms),Onset Tg (C),Gloss,Pigment Volume Concentration ratio,Oil (1 or 0),Acrylic (1 or 0),Metal ions (1 or 0),Water Mixable (1 or 0),Organic pigment (1 or 0),Inorganic pigment (1 or 0),Notes/Comments,NMR file,DSC file
Black_1,2,0.529474,1.06,8,0.15,0,1,1,,0,1,,,
Black_2,2,0.580719,3.09,5.9,0.21,0,1,1,,0,1,,,
Black_3,2.5,0.479482,3.58,3.7,0.3,0,1,1,,0,1,,,
Black_4,1,0.545508,5.025,2.4,0.43,0,1,1,,0,1,,,
Black_5,4,0.422963,5.14,1.4,0.54,0,1,1,,0,1,,,
Black_6,4,0.425296,0.92,0.7,0.66,0,1,1,,0,1,,,
Black_7,4,0.410537,-1.395,0.4,0.76,0,1,1,,0,1,,,
Black_8,3,0.315382,6.47,0.1,0.87,0,1,1,,0,1,,,
Black_9,4,0.280732,4.105,0.1,0.88,0,1,1,,0,1,,,
Black_10,3,0.313058,7.46,0,1.12,0,1,1,,0,1,,,
Blue_1,0.25,0.537789,,4.7,0.13,0,1,1,,1,0,,,
Blue_2,3.5,0.453727,,3.3,0.27,0,1,1,,1,0,,,
Blue_3,0.25,0.361799,,1.3,0.39,0,1,1,,1,0,,,
Blue_4,3.5,0.391691,,0.8,0.51,0,1,1,,1,0,,,
Blue_5,0.25,0.364253,,0.4,0.61,0,1,1,,1,0,,,
Blue_6,3.5,0.205623,,0,0.74,0,1,1,,1,0,,,
Blue_7,0.25,0.081444,,0,0.9,0,1,1,,1,0,,,
Blue_8,3.5,0.136319,,0,0.96,0,1,1,,1,0,,,
Blue_9,3.5,0.084685,,0,1.07,0,1,1,,1,0,,,
Blue_10,0.25,0.082280,,0,1.13,0,1,1,,1,0,,,
Red_1,1.5,0.461971,,8.4,0.15,0,1,0,,1,0,,,
Red_2,1.5,0.436589,,3,0.3,0,1,0,,1,0,,,
Red_3,1.25,0.351749,,0.1,0.47,0,1,0,,1,0,,,
Red_4,1,0.389386,,0,0.66,0,1,0,,1,0,,,
Red_5,1,0.316277,,0,0.71,0,1,0,,1,0,,,
Red_6,0.25,0.237127,,0,0.84,0,1,0,,1,0,,,
Red_7,1,0.193955,,0,1,0,1,0,,1,0,,,
Red_8,1,0.141389,,0,1.22,0,1,0,,1,0,,,
White_1,1,0.490833,,19.1,0.05,0,1,0,,0,1,,,
White_2,1,0.464102,,16.2,0.11,0,1,0,,0,1,,,
White_3,1,0.426568,,12.7,0.18,0,1,0,,0,1,,,
White_4,1,0.431795,,7.9,0.26,0,1,0,,0,1,,,
White_5,1,0.399793,,7.2,0.36,0,1,0,,0,1,,,
White_6,1,0.390650,,4.4,0.5,0,1,0,,0,1,,,
White_7,1,0.305284,,3.2,0.72,0,1,0,,0,1,,,
White_8,1,0.134637,,2.6,0.87,0,1,0,,0,1,,,
White_9,1,0.128466,,2,1.06,0,1,0,,0,1,,,
White_10,0.25,0.112120,,1.7,1.14,0,1,0,,0,1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,